type,val_image,train_image,hamming_distance
near,Anthracnose_aug_fae1df8d_jpg.rf.d31623cb077f56d757d8ca042c336731.jpg,Anthracnose_aug_b8516636_jpg.rf.266c773bcd1687dd858b5158234ca412.jpg,2
near,Anthracnose_b9af5c9a_jpg.rf.2208997c04fe1a47ed9b616b9c5bf436.jpg,Anthracnose_89715bea_jpg.rf.6b985cd2947bfc4a90a0f8d7d6d85339.jpg,2
near,Anthracnose_11a08969_jpg.rf.e1a080e07be08ae44a8361294cac9b0e.jpg,Anthracnose_b5afccd4_jpg.rf.a5509f36bf9a0a084652754d8656dc80.jpg,4
near,Anthracnose_1256fed2_jpg.rf.6c3b6be4dfe481a16f21b01c30549648.jpg,Anthracnose_4c0867c0_jpg.rf.bfb93c0693588d7c7b2f44744ad72420.jpg,4
near,Anthracnose_2eb9b02d_jpg.rf.e756635e80681a40aced96363b27eb71.jpg,Anthracnose_372d344d_jpg.rf.c14094e9e814f1b096469fe37e5fb499.jpg,4
near,Anthracnose_392bb781_jpg.rf.a168dc01b7ea4db5073b4244c03a47d3.jpg,Anthracnose_e722d833_jpg.rf.5f796b56a866a336813a5def8266035c.jpg,4
near,Anthracnose_46653dd7_jpg.rf.f065ed5ca2f2e0c62ebac9460d9717f8.jpg,Anthracnose_191e2b28_jpg.rf.47a2b1cd9124686a0fdc7f5cda4e0325.jpg,4
near,Anthracnose_46653dd7_jpg.rf.f065ed5ca2f2e0c62ebac9460d9717f8.jpg,Anthracnose_395d293a_jpg.rf.b1e25a36c72a3deb2ee6c5589c326c3c.jpg,4
near,Anthracnose_5ffbc92b_jpg.rf.9fd09365077e4609281e1b697746b805.jpg,Anthracnose_aug_aaabe729_jpg.rf.d400ad87180b8eea632b28cd69f123a6.jpg,4
near,Anthracnose_72b394bd_jpg.rf.d22cb241644045bc9bd97cbed16f8cca.jpg,Anthracnose_3eb91ad1_jpg.rf.dbb6daa9d8bab307296aecc3934bf0cf.jpg,4
near,Anthracnose_771cedb2_jpg.rf.c1ec313bbf20056a837e363a19716517.jpg,Anthracnose_38a84fcf_jpg.rf.7964861d39ea462b78b1eb756b28660d.jpg,4
near,Anthracnose_771cedb2_jpg.rf.c1ec313bbf20056a837e363a19716517.jpg,Anthracnose_9bbdd0ab_jpg.rf.c54679c0bb609139e24f223c8c619d25.jpg,4
near,Anthracnose_771cedb2_jpg.rf.c1ec313bbf20056a837e363a19716517.jpg,Anthracnose_a8580d60_jpg.rf.a38426128ce99cb49adcc353a68c7700.jpg,4
near,Anthracnose_771cedb2_jpg.rf.c1ec313bbf20056a837e363a19716517.jpg,Anthracnose_d8e58f62_jpg.rf.50f20e1089a8b9a3017ce08eadaae3a6.jpg,4
near,Anthracnose_a964d031_jpg.rf.d1e9c7384b7d443b0c7e3409c1ca8005.jpg,Anthracnose_2142276d_jpg.rf.9062aecf04ee7dc11d7da0347f6e0be5.jpg,4
near,Anthracnose_aug_bfd468f9_jpg.rf.efd7b12fd3d5edc8a6cfae88f797ae49.jpg,Anthracnose_0ae1cc0b_jpg.rf.d2e53ec7127855a4d85a6e3c6005316f.jpg,4
near,Anthracnose_aug_bfd468f9_jpg.rf.efd7b12fd3d5edc8a6cfae88f797ae49.jpg,Anthracnose_69ab0396_jpg.rf.9e7932724552db99e120d39962a99d30.jpg,4
near,Anthracnose_aug_bfd468f9_jpg.rf.efd7b12fd3d5edc8a6cfae88f797ae49.jpg,Anthracnose_aug_84541a1d_jpg.rf.991141efc8f82c5775059d13428e5c28.jpg,4
near,Anthracnose_aug_bfd468f9_jpg.rf.efd7b12fd3d5edc8a6cfae88f797ae49.jpg,Anthracnose_aug_8b5138d0_jpg.rf.a636ae468ccd00492597e18453af8d09.jpg,4
near,Anthracnose_07dd36b8_jpg.rf.c773a7cbc483d55aaf253a3ac3a9935a.jpg,Anthracnose_f1ddb886_jpg.rf.3a90b25fc0b923bcf9b68997bd656a20.jpg,6
near,Anthracnose_0d184e97_jpg.rf.6b51d16433617b14e11859264c493647.jpg,Anthracnose_0d48a083_jpg.rf.e9131055a76d2faa2e1771a57929bf88.jpg,6
near,Anthracnose_0d184e97_jpg.rf.6b51d16433617b14e11859264c493647.jpg,Anthracnose_aug_2ccbdccc_jpg.rf.af3b6850739494d53f2bfd0a2968f875.jpg,6
near,Anthracnose_0d184e97_jpg.rf.6b51d16433617b14e11859264c493647.jpg,Anthracnose_aug_98d412d7_jpg.rf.b2fbe50760987292a6711d8e5b4a60f7.jpg,6
near,Anthracnose_0d184e97_jpg.rf.6b51d16433617b14e11859264c493647.jpg,Anthracnose_aug_feec09fd_jpg.rf.79f37da0fc01b3a29af518f991b7382e.jpg,6
near,Anthracnose_7d6096bb_jpg.rf.1d8dc5d3ae71d45c9ed5e9721f50544a.jpg,Anthracnose_ba4f6552_jpg.rf.9d5cc77c4429e69babd8b8ab5d233e76.jpg,6
near,Anthracnose_7d6096bb_jpg.rf.1d8dc5d3ae71d45c9ed5e9721f50544a.jpg,Anthracnose_fcc8a5e4_jpg.rf.950fc9d1b52c8477f9d6fb07bff5fbdf.jpg,6
near,Anthracnose_80a7397a_jpg.rf.3493f7ba9b75d8d9cbab36397444701b.jpg,Anthracnose_543507e5_jpg.rf.98a69e74aa644af20c49e2202f081344.jpg,6
near,Anthracnose_aug_74be9bb6_jpg.rf.7f8e6a343117334c2c415a4874eb91bb.jpg,Anthracnose_0d48a083_jpg.rf.e9131055a76d2faa2e1771a57929bf88.jpg,6
near,Anthracnose_aug_74be9bb6_jpg.rf.7f8e6a343117334c2c415a4874eb91bb.jpg,Anthracnose_aug_2ccbdccc_jpg.rf.af3b6850739494d53f2bfd0a2968f875.jpg,6
near,Anthracnose_aug_74be9bb6_jpg.rf.7f8e6a343117334c2c415a4874eb91bb.jpg,Anthracnose_aug_98d412d7_jpg.rf.b2fbe50760987292a6711d8e5b4a60f7.jpg,6
near,Anthracnose_aug_74be9bb6_jpg.rf.7f8e6a343117334c2c415a4874eb91bb.jpg,Anthracnose_aug_feec09fd_jpg.rf.79f37da0fc01b3a29af518f991b7382e.jpg,6
near,Anthracnose_aug_bfd468f9_jpg.rf.efd7b12fd3d5edc8a6cfae88f797ae49.jpg,Anthracnose_aug_83ab491d_jpg.rf.5b1b07bb71ec9d81011d0aef455423a9.jpg,6
near,Anthracnose_aug_fae1df8d_jpg.rf.d31623cb077f56d757d8ca042c336731.jpg,Anthracnose_0d48a083_jpg.rf.e9131055a76d2faa2e1771a57929bf88.jpg,6
near,Anthracnose_aug_fae1df8d_jpg.rf.d31623cb077f56d757d8ca042c336731.jpg,Anthracnose_aug_2ccbdccc_jpg.rf.af3b6850739494d53f2bfd0a2968f875.jpg,6
near,Anthracnose_aug_fae1df8d_jpg.rf.d31623cb077f56d757d8ca042c336731.jpg,Anthracnose_aug_98d412d7_jpg.rf.b2fbe50760987292a6711d8e5b4a60f7.jpg,6
near,Anthracnose_aug_fae1df8d_jpg.rf.d31623cb077f56d757d8ca042c336731.jpg,Anthracnose_aug_feec09fd_jpg.rf.79f37da0fc01b3a29af518f991b7382e.jpg,6
near,Anthracnose_d9f35328_jpg.rf.2012953ccfc434cdf2e9cd42f89c3764.jpg,Anthracnose_41d062ec_jpg.rf.e8dac4edb7661bb6198823b31a1a8298.jpg,6
near,Anthracnose_d9f35328_jpg.rf.2012953ccfc434cdf2e9cd42f89c3764.jpg,Anthracnose_aug_d552cd85_jpg.rf.84b7edec7842b88dd3d243590e7f342a.jpg,6
near,Anthracnose_d9f35328_jpg.rf.2012953ccfc434cdf2e9cd42f89c3764.jpg,Anthracnose_eb6e67a1_jpg.rf.0ab3b8dc544f9fef369b9ae372e432f8.jpg,6
near,Anthracnose_07dd36b8_jpg.rf.c773a7cbc483d55aaf253a3ac3a9935a.jpg,Anthracnose_23f5a653_jpg.rf.3c0f02d53a5292652f52c546ee54b228.jpg,8
near,Anthracnose_07dd36b8_jpg.rf.c773a7cbc483d55aaf253a3ac3a9935a.jpg,Anthracnose_834f32d7_jpg.rf.2172c2c2a716ddd1e914f20147817e46.jpg,8
near,Anthracnose_07dd36b8_jpg.rf.c773a7cbc483d55aaf253a3ac3a9935a.jpg,Anthracnose_fb92fd15_jpg.rf.31ac04743a4efe023f5f8acd9cfc7af4.jpg,8
near,Anthracnose_0d184e97_jpg.rf.6b51d16433617b14e11859264c493647.jpg,Anthracnose_41d062ec_jpg.rf.e8dac4edb7661bb6198823b31a1a8298.jpg,8
near,Anthracnose_0d184e97_jpg.rf.6b51d16433617b14e11859264c493647.jpg,Anthracnose_aug_d552cd85_jpg.rf.84b7edec7842b88dd3d243590e7f342a.jpg,8
near,Anthracnose_0d184e97_jpg.rf.6b51d16433617b14e11859264c493647.jpg,Anthracnose_eb6e67a1_jpg.rf.0ab3b8dc544f9fef369b9ae372e432f8.jpg,8
near,Anthracnose_2eb9b02d_jpg.rf.e756635e80681a40aced96363b27eb71.jpg,Anthracnose_38a84fcf_jpg.rf.7964861d39ea462b78b1eb756b28660d.jpg,8
near,Anthracnose_2eb9b02d_jpg.rf.e756635e80681a40aced96363b27eb71.jpg,Anthracnose_9bbdd0ab_jpg.rf.c54679c0bb609139e24f223c8c619d25.jpg,8
near,Anthracnose_2eb9b02d_jpg.rf.e756635e80681a40aced96363b27eb71.jpg,Anthracnose_cd7dc584_jpg.rf.7b1f1b4b87cf33bde0ccbc08ffcde96d.jpg,8
near,Anthracnose_2eb9b02d_jpg.rf.e756635e80681a40aced96363b27eb71.jpg,Anthracnose_d8e58f62_jpg.rf.50f20e1089a8b9a3017ce08eadaae3a6.jpg,8
near,Anthracnose_392bb781_jpg.rf.a168dc01b7ea4db5073b4244c03a47d3.jpg,Anthracnose_0a8bc8bd_jpg.rf.c89af976af378478b7fa0e975c3a4205.jpg,8
