epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
62,8264.94,0.24898,0.41599,0.16699,0.80207,0.23705,0.26991,0.22889,0.61555,0.84814,0.33793,0.000543037,0.000543037,0.000543037
63,8372.08,0.21791,0.47278,0.16788,0.77847,0.23945,0.28349,0.23337,0.58943,0.95546,0.33729,0.000537037,0.000537037,0.000537037
64,8475.57,0.1765,0.44751,0.1517,0.46843,0.50293,0.3222,0.23912,0.58389,0.87861,0.37763,0.000531038,0.000531038,0.000531038
65,8581.7,0.24871,0.47378,0.18974,0.476,0.41136,0.32998,0.24415,0.58322,0.82467,0.31724,0.000525038,0.000525038,0.000525038
66,8687.76,0.21568,0.4377,0.17085,0.79537,0.42131,0.41973,0.28177,0.58085,1.01747,0.31203,0.000519039,0.000519039,0.000519039
67,8793.25,0.20917,0.44264,0.1641,0.44397,0.51326,0.30733,0.24407,0.56134,2.47439,0.31484,0.00051304,0.00051304,0.00051304
68,8899.67,0.24122,0.36299,0.15294,0.62378,0.33798,0.30958,0.25262,0.55528,0.94608,0.2859,0.00050704,0.00050704,0.00050704
69,9004.03,0.22292,0.40695,0.1695,0.61035,0.42418,0.34368,0.25123,0.52606,1.32945,0.31345,0.000501041,0.000501041,0.000501041
70,9110.2,0.21758,0.36027,0.17502,0.85582,0.42131,0.35783,0.24563,0.53304,0.84714,0.31268,0.000495041,0.000495041,0.000495041
71,9214.97,0.23169,0.40736,0.14926,0.79551,0.25752,0.34177,0.26573,0.47723,1.53531,0.27128,0.000489042,0.000489042,0.000489042
72,9322.15,0.20184,0.37553,0.15505,0.73173,0.43413,0.44384,0.32472,0.52164,0.99277,0.31853,0.000483043,0.000483043,0.000483043
73,9427.41,0.21984,0.3944,0.14783,0.96647,0.25464,0.28548,0.24174,0.5897,0.97769,0.34842,0.000477043,0.000477043,0.000477043
74,9533.73,0.20353,0.37764,0.15709,0.64698,0.4302,0.35965,0.26263,0.53717,1.23772,0.31314,0.000471044,0.000471044,0.000471044
75,9639.09,0.20682,0.36948,0.14583,0.67801,0.43413,0.42649,0.28645,0.53339,1.13629,0.27497,0.000465044,0.000465044,0.000465044
76,9744.45,0.20709,0.38683,0.16095,0.32263,0.50665,0.31742,0.24226,0.55065,1.07986,0.35138,0.000459045,0.000459045,0.000459045
77,9851.46,0.21456,0.40545,0.15414,0.88889,0.42575,0.44795,0.27751,0.49259,0.92827,0.25558,0.000453046,0.000453046,0.000453046
78,9955.17,0.1936,0.41193,0.13395,0.27127,0.4446,0.3583,0.27192,0.48676,1.14605,0.23452,0.000447046,0.000447046,0.000447046
79,10061.6,0.19582,0.35871,0.15242,0.31197,0.43587,0.33244,0.26257,0.51254,0.9548,0.26529,0.000441047,0.000441047,0.000441047
80,10165.5,0.2301,0.3582,0.15648,0.31744,0.33692,0.35364,0.25127,0.48276,0.95903,0.26593,0.000435047,0.000435047,0.000435047
81,10271.1,0.20612,0.38976,0.14051,0.28762,0.37269,0.29891,0.24986,0.48062,0.84103,0.26898,0.000429048,0.000429048,0.000429048
82,10376.8,0.20604,0.36386,0.16509,0.61775,0.25464,0.26901,0.23528,0.51325,0.89831,0.29474,0.000423049,0.000423049,0.000423049
83,10483.4,0.22588,0.36554,0.15133,0.28411,0.3384,0.28702,0.24286,0.53439,0.87271,0.28341,0.000417049,0.000417049,0.000417049
84,10590.7,0.18008,0.35601,0.15821,0.4785,0.34322,0.29712,0.24182,0.54924,0.90589,0.30779,0.00041105,0.00041105,0.00041105
85,10694.8,0.21926,0.40481,0.16492,0.67754,0.33856,0.35433,0.2484,0.53027,0.89879,0.25937,0.00040505,0.00040505,0.00040505
86,10801.9,0.20517,0.37848,0.1632,0.34347,0.36006,0.27915,0.23889,0.53568,0.83816,0.30832,0.000399051,0.000399051,0.000399051
87,10906.3,0.20225,0.33002,0.14133,0.28515,0.31808,0.30742,0.24443,0.54873,0.85192,0.32539,0.000393052,0.000393052,0.000393052
88,11012.7,0.1903,0.36374,0.14067,0.63083,0.24909,0.29809,0.2439,0.55655,0.94227,0.3636,0.000387052,0.000387052,0.000387052
89,11117.2,0.18846,0.34012,0.14413,0.41276,0.35367,0.28835,0.24911,0.55674,0.79247,0.36163,0.000381053,0.000381053,0.000381053
90,11223.4,0.21585,0.35604,0.16998,0.76036,0.43364,0.43952,0.26224,0.54516,0.77405,0.34019,0.000375053,0.000375053,0.000375053
91,11329.2,0.22886,0.33172,0.18688,0.38497,0.43683,0.43829,0.30031,0.58355,1.07406,0.35769,0.000369054,0.000369054,0.000369054
92,11434.7,0.19176,0.34499,0.14335,0.50444,0.35154,0.32198,0.24622,0.56683,0.98377,0.29926,0.000363055,0.000363055,0.000363055
93,11540.8,0.20188,0.32045,0.13206,0.55858,0.42746,0.40939,0.25745,0.58773,0.84674,0.32335,0.000357055,0.000357055,0.000357055
94,11646.4,0.19995,0.36943,0.14413,0.52447,0.33798,0.36604,0.25196,0.57401,0.73595,0.39892,0.000351056,0.000351056,0.000351056
95,11753.9,0.20802,0.34698,0.13635,0.38085,0.38297,0.40581,0.26896,0.56812,0.78386,0.33294,0.000345056,0.000345056,0.000345056
96,11858.5,0.20977,0.33211,0.17406,0.50848,0.41732,0.41922,0.25737,0.54174,0.92208,0.31014,0.000339057,0.000339057,0.000339057
97,11969.6,0.1899,0.35097,0.13605,0.49,0.42131,0.36494,0.25207,0.54404,0.95399,0.33798,0.000333058,0.000333058,0.000333058
98,12098,0.16915,0.34191,0.13336,0.95997,0.26912,0.30231,0.25445,0.50692,0.80972,0.30156,0.000327058,0.000327058,0.000327058
99,12227,0.17604,0.32307,0.15122,0.77381,0.26522,0.27008,0.23679,0.52831,0.99394,0.32469,0.000321059,0.000321059,0.000321059
100,12352.4,0.21643,0.34628,0.13251,0.7895,0.26746,0.27892,0.24896,0.55516,0.98844,0.31976,0.000315059,0.000315059,0.000315059
101,12482.6,0.18509,0.28759,0.14015,0.78282,0.27055,0.29634,0.25155,0.55076,1.13536,0.28741,0.00030906,0.00030906,0.00030906
102,12611.4,0.20294,0.32772,0.15098,0.80363,0.25347,0.28122,0.24969,0.57557,1.03055,0.31586,0.000303061,0.000303061,0.000303061
103,12740.8,0.21982,0.32199,0.16083,0.6304,0.43722,0.43423,0.30841,0.55134,1.18768,0.2877,0.000297061,0.000297061,0.000297061
104,12866.7,0.18461,0.32086,0.13618,0.30187,0.3625,0.29376,0.25416,0.5226,1.37705,0.31702,0.000291062,0.000291062,0.000291062
105,13080.7,0.19479,0.34561,0.14392,0.57359,0.437,0.46965,0.33917,0.51212,1.16447,0.32751,0.000285062,0.000285062,0.000285062
106,13426,0.19605,0.30276,0.14819,0.29304,0.3593,0.2852,0.24732,0.53131,1.20564,0.31824,0.000279063,0.000279063,0.000279063
107,13754.7,0.19015,0.31553,0.13051,0.3972,0.34106,0.28099,0.24492,0.5117,1.75325,0.30713,0.000273064,0.000273064,0.000273064
108,14095.9,0.18064,0.31837,0.12476,0.78722,0.26881,0.2796,0.24978,0.54836,1.02506,0.338,0.000267064,0.000267064,0.000267064
109,14424.3,0.19471,0.35607,0.14343,0.78509,0.24757,0.28237,0.25184,0.52249,1.04478,0.27848,0.000261065,0.000261065,0.000261065
110,14735.8,0.18338,0.31868,0.14839,0.50421,0.35416,0.31935,0.26335,nan,nan,nan,0.000255065,0.000255065,0.000255065
111,15093,0.16751,0.28865,0.1217,0.35894,0.36538,0.30609,0.26404,0.52108,0.80377,0.30098,0.000249066,0.000249066,0.000249066
112,15470.8,0.19628,0.30099,0.12524,0.41356,0.35963,0.30542,0.24983,0.50785,1.04731,0.29334,0.000243067,0.000243067,0.000243067
113,15849,0.17005,0.31824,0.12303,0.42426,0.53226,0.34863,0.27297,0.52778,1.12055,0.30571,0.000237067,0.000237067,0.000237067
114,16242.1,0.21096,0.30612,0.1505,0.26603,0.36279,0.29436,0.2614,0.52034,0.84074,0.27616,0.000231068,0.000231068,0.000231068
115,16620.8,0.17091,0.31994,0.12369,0.40076,0.33399,0.29798,0.26219,0.51102,0.93864,0.28513,0.000225068,0.000225068,0.000225068
116,16953.4,0.20954,0.28498,0.15472,0.48916,0.49448,0.32699,0.26725,0.53603,1.10221,0.28153,0.000219069,0.000219069,0.000219069
117,17229.1,0.15456,0.28106,0.12093,0.3211,0.3625,0.29941,0.26026,nan,nan,nan,0.00021307,0.00021307,0.00021307
118,17527.2,0.18709,0.29538,0.13223,0.28197,0.34394,0.26483,0.23544,nan,nan,nan,0.00020707,0.00020707,0.00020707
119,17820.8,0.15917,0.2891,0.1081,0.69062,0.42131,0.34495,0.25322,nan,nan,nan,0.000201071,0.000201071,0.000201071
120,18117.5,0.18921,0.30148,0.14768,0.62861,0.42418,0.29815,0.25387,nan,nan,nan,0.000195071,0.000195071,0.000195071
121,18401.4,0.18994,0.27481,0.14635,0.65242,0.43382,0.33357,0.26765,0.50683,0.94179,0.2911,0.000189072,0.000189072,0.000189072
122,18699.9,0.18165,0.26904,0.12201,0.31444,0.42748,0.31576,0.26509,nan,nan,nan,0.000183073,0.000183073,0.000183073
123,18897.2,0.15224,0.31893,0.11502,0.31651,0.45314,0.30275,0.2646,nan,nan,nan,0.000177073,0.000177073,0.000177073
124,19190.8,0.18968,0.27354,0.14089,0.72174,0.43413,0.44736,0.26818,0.52556,1.2187,0.32721,0.000171074,0.000171074,0.000171074
125,19507.1,0.20659,0.30893,0.14143,0.62948,0.25464,0.28373,0.25088,0.53251,1.00372,0.29885,0.000165074,0.000165074,0.000165074
126,19794.1,0.17356,0.2722,0.11153,0.96482,0.25177,0.27326,0.24473,nan,nan,nan,0.000159075,0.000159075,0.000159075
127,20105.7,0.18199,0.27401,0.12204,0.39997,0.52034,0.45265,0.31318,0.51734,0.88605,0.29716,0.000153076,0.000153076,0.000153076
128,20405.3,0.1618,0.25194,0.11387,0.62326,0.51166,0.4708,0.32912,0.50594,0.89294,0.30064,0.000147076,0.000147076,0.000147076
129,20689.3,0.17129,0.27144,0.11916,0.59867,0.46675,0.47053,0.34849,0.50614,0.84681,0.30888,0.000141077,0.000141077,0.000141077
