type,val_image,train_image,hamming_distance,val_md5,train_md5,val_phash,train_phash
near,Anthracnose_0d184e97_jpg.rf.6b51d16433617b14e11859264c493647.jpg,Anthracnose_91519e76_jpg.rf.ecd28128fe2637b45f0688d70c896a88.jpg,2,0b4580297063221c3d65504687ed2636,ffb1bb3797a252df0d783b141b4f003e,a46d5d1e53825a1f,a4ed5d1e43825a1f
near,Anthracnose_0d184e97_jpg.rf.6b51d16433617b14e11859264c493647.jpg,Anthracnose_aug_b8516636_jpg.rf.266c773bcd1687dd858b5158234ca412.jpg,2,0b4580297063221c3d65504687ed2636,b8d1f45497e25b1892f81881034d896c,a46d5d1e53825a1f,a4ed5d1e43825a1f
near,Anthracnose_11a08969_jpg.rf.e1a080e07be08ae44a8361294cac9b0e.jpg,Anthracnose_58404680_jpg.rf.c391abe48331305e4a881ca5d88e4af3.jpg,2,533c652deb6b46d89a3ed2a3e9dcab36,85266f481849e9e2652167563ef0707f,d03d43cd70b11fac,d03d4bcd70b11fa4
near,Anthracnose_11a08969_jpg.rf.e1a080e07be08ae44a8361294cac9b0e.jpg,Anthracnose_9fdcb585_jpg.rf.845b682885ecfcdf51595171374ee84e.jpg,2,533c652deb6b46d89a3ed2a3e9dcab36,68f60b1c1839de99b8e050bb3cbffa51,d03d43cd70b11fac,d03d4bcd70b10fac
near,Anthracnose_11a08969_jpg.rf.e1a080e07be08ae44a8361294cac9b0e.jpg,Anthracnose_aug_0ca4c272_jpg.rf.126af12e4d70b728ac6f0fd6d1359360.jpg,2,533c652deb6b46d89a3ed2a3e9dcab36,01aa1b453c31b2e3bc6c3c12329c0bb0,d03d43cd70b11fac,d03d4bcd70b10fac
near,Anthracnose_11a08969_jpg.rf.e1a080e07be08ae44a8361294cac9b0e.jpg,Anthracnose_aug_d5132b1c_jpg.rf.b4985ff8bd9324611300835a58f0d633.jpg,2,533c652deb6b46d89a3ed2a3e9dcab36,613131613ec1ee0415471f9a5a2f8219,d03d43cd70b11fac,d03d4bcd70b11fa4
near,Anthracnose_1833be9c_jpg.rf.5d24aad09f503578116c3e6e8c54e28a.jpg,Anthracnose_a7b75edd_jpg.rf.8f38dc4b135480dab06b623ae01972fb.jpg,2,49545e0b3742413f2fe27ed77d78c44f,831efbb0bac605089416fa12d8d24909,cd53760c58ae271d,cd53660c5aae271d
near,Anthracnose_5ffbc92b_jpg.rf.9fd09365077e4609281e1b697746b805.jpg,Anthracnose_c9b57da2_jpg.rf.666f8e84fab85797996d3f93b8a6dabf.jpg,2,9e54b54dbbc9906ac2db91c99fa4827b,1d0220cca6c235f3db8b8cf973da4195,c54854cc39e745f9,c54854cc39e741fb
near,Anthracnose_a964d031_jpg.rf.d1e9c7384b7d443b0c7e3409c1ca8005.jpg,Anthracnose_049d5339_jpg.rf.6231e2332c6298b0124abb69de16debf.jpg,2,474f9cc99634d5cf12e496605b6df187,c5ae6d86a32fb50bc4c985bf01de4a40,980633590ffb725c,982633590dfb725c
near,Anthracnose_a964d031_jpg.rf.d1e9c7384b7d443b0c7e3409c1ca8005.jpg,Anthracnose_2b1fd139_jpg.rf.1ce377cea5ecac83bd4c8ef16f5bd7a7.jpg,2,474f9cc99634d5cf12e496605b6df187,431e1a415b2e9112dae995af874942e0,980633590ffb725c,982633590dfb725c
near,Anthracnose_a964d031_jpg.rf.d1e9c7384b7d443b0c7e3409c1ca8005.jpg,Anthracnose_8305874d_jpg.rf.c12be65983b7b6114eca1965bea35294.jpg,2,474f9cc99634d5cf12e496605b6df187,b76e5f447c79976413e4b88ac6350130,980633590ffb725c,982633590dfb725c
near,Anthracnose_aug_f4e20a28_jpg.rf.0e3aa8dfc430757ac3bac580d3c39049.jpg,Anthracnose_aug_040cbc36_jpg.rf.06b53f2bfe530ca1a4f5c723016a3384.jpg,2,59bc2338b10e43f573223832e0cc6869,67ba69979b6c32f1656f3edb065a5281,a168d91ed2c7d0b5,a169d11ed2c7d0b5
near,Anthracnose_aug_fae1df8d_jpg.rf.d31623cb077f56d757d8ca042c336731.jpg,Anthracnose_91519e76_jpg.rf.ecd28128fe2637b45f0688d70c896a88.jpg,2,89921a2d5daf3b239653ec6b0dfee8ad,ffb1bb3797a252df0d783b141b4f003e,a46d5d1e53825a1f,a4ed5d1e43825a1f
near,Anthracnose_aug_fae1df8d_jpg.rf.d31623cb077f56d757d8ca042c336731.jpg,Anthracnose_aug_b8516636_jpg.rf.266c773bcd1687dd858b5158234ca412.jpg,2,89921a2d5daf3b239653ec6b0dfee8ad,b8d1f45497e25b1892f81881034d896c,a46d5d1e53825a1f,a4ed5d1e43825a1f
near,Anthracnose_b9af5c9a_jpg.rf.2208997c04fe1a47ed9b616b9c5bf436.jpg,Anthracnose_89715bea_jpg.rf.6b985cd2947bfc4a90a0f8d7d6d85339.jpg,2,0fccbcd1368630a6d041eb5357811ebb,988b0f53f528704155b4156b2bc1fa76,f039844f879389fa,f039844fa79389f2
near,Anthracnose_11a08969_jpg.rf.e1a080e07be08ae44a8361294cac9b0e.jpg,Anthracnose_b5afccd4_jpg.rf.a5509f36bf9a0a084652754d8656dc80.jpg,4,533c652deb6b46d89a3ed2a3e9dcab36,2a1101196cfe8e95595f01fb29fc7b94,d03d43cd70b11fac,d03d4bcd70b18f2c
near,Anthracnose_1256fed2_jpg.rf.6c3b6be4dfe481a16f21b01c30549648.jpg,Anthracnose_4c0867c0_jpg.rf.bfb93c0693588d7c7b2f44744ad72420.jpg,4,52fe2ee471803cc401881c22d1002dbe,c0b34b06fc75a48bf338d5f59813663e,85681f9825e65af9,8d681e9825e4daf9
near,Anthracnose_2eb9b02d_jpg.rf.e756635e80681a40aced96363b27eb71.jpg,Anthracnose_372d344d_jpg.rf.c14094e9e814f1b096469fe37e5fb499.jpg,4,368fa8014fe39c4a586c30d79e2d3378,31b01ca63e91b527062d7e0e942d3fef,96680a99b4e4cb7b,9e690a99b4a4cb3b
near,Anthracnose_392bb781_jpg.rf.a168dc01b7ea4db5073b4244c03a47d3.jpg,Anthracnose_e722d833_jpg.rf.5f796b56a866a336813a5def8266035c.jpg,4,bc81e327fb8b3a732eae960465d27d88,17e53b3d0e2ec2ad50f0486772b31bd7,901d039d6db31cbe,901d239d6db614be
near,Anthracnose_46653dd7_jpg.rf.f065ed5ca2f2e0c62ebac9460d9717f8.jpg,Anthracnose_191e2b28_jpg.rf.47a2b1cd9124686a0fdc7f5cda4e0325.jpg,4,aaa9b2b83418226b2bd501c2cdc91c9f,8ccba9071ca34d2d3c6445391a5437bb,cd73580e52ad2f07,cd77580e52ac0f27
near,Anthracnose_46653dd7_jpg.rf.f065ed5ca2f2e0c62ebac9460d9717f8.jpg,Anthracnose_395d293a_jpg.rf.b1e25a36c72a3deb2ee6c5589c326c3c.jpg,4,aaa9b2b83418226b2bd501c2cdc91c9f,71fa35a65a360a4862d7893c9f9a1fc0,cd73580e52ad2f07,cd77580e52ac0f27
near,Anthracnose_5ffbc92b_jpg.rf.9fd09365077e4609281e1b697746b805.jpg,Anthracnose_aug_aaabe729_jpg.rf.d400ad87180b8eea632b28cd69f123a6.jpg,4,9e54b54dbbc9906ac2db91c99fa4827b,67df87a90df312616985594317ff7e78,c54854cc39e745f9,c55854cc39e741f3
near,Anthracnose_72b394bd_jpg.rf.d22cb241644045bc9bd97cbed16f8cca.jpg,Anthracnose_3eb91ad1_jpg.rf.dbb6daa9d8bab307296aecc3934bf0cf.jpg,4,def5be76a9e95c391d0201c3b0d2eedd,1cca57b4287b25954fbedbb270e88ca7,d05f81ad1b235b17,d05d91ad5b235a17
near,Anthracnose_771cedb2_jpg.rf.c1ec313bbf20056a837e363a19716517.jpg,Anthracnose_38a84fcf_jpg.rf.7964861d39ea462b78b1eb756b28660d.jpg,4,696b1f8c94c27698f3028f314cda7b88,53c1f20781fa5d7ddf0f3077cc17b7eb,97680b9934e4cb79,97680b9834e54bf9
near,Anthracnose_771cedb2_jpg.rf.c1ec313bbf20056a837e363a19716517.jpg,Anthracnose_9bbdd0ab_jpg.rf.c54679c0bb609139e24f223c8c619d25.jpg,4,696b1f8c94c27698f3028f314cda7b88,a186b28284163764972c072170b34bcb,97680b9934e4cb79,97680b9834e54bf9
near,Anthracnose_771cedb2_jpg.rf.c1ec313bbf20056a837e363a19716517.jpg,Anthracnose_a8580d60_jpg.rf.a38426128ce99cb49adcc353a68c7700.jpg,4,696b1f8c94c27698f3028f314cda7b88,4895e07268d60233dd9757e49804c5cb,97680b9934e4cb79,96680a99b4e4cb7b
